oq,rvnm,stcd,stnm,tm,wptn,z
12300,长江干流,60106980,三峡水库,1718028000000,6,147.100
11500,长江干流,60106980,三峡水库,1718031600000,5,147.140
11500,长江干流,60106980,三峡水库,1718035200000,6,147.140
10700,长江干流,60106980,三峡水库,1718038800000,5,147.230
10700,13700,长江干流,60106980,三峡水库,1718042400000,5,147.270
10700,长江干流,60106980,三峡水库,1718046000000,5,147.310
10700,长江干流,60106980,三峡水库,1718049600000,5,147.330
10700,长江干流,60106980,三峡水库,1718053200000,6,147.330
10600,长江干流,60106980,三峡水库,1718056800000,5,147.380
10700,长江干流,60106980,三峡水库,1718060400000,4,147.360
10600,13700,长江干流,60106980,三峡水库,1718064000000,5,147.390
10600,长江干流,60106980,三峡水库,1718067600000,6,147.390
9890,长江干流,60106980,三峡水库,1718071200000,5,147.440
8150,长江干流,60106980,三峡水库,1718074800000,5,147.560
7990,长江干流,60106980,三峡水库,1718078400000,5,147.620
7970,长江干流,60106980,三峡水库,1718082000000,5,147.700
7980,13600,长江干流,60106980,三峡水库,1718085600000,5,147.720
8050,长江干流,60106980,三峡水库,1718089200000,5,147.780
8040,长江干流,60106980,三峡水库,1718092800000,5,147.850
11400,长江干流,60106980,三峡水库,1718096400000,4,147.750
13700,长江干流,60106980,三峡水库,1718100000000,4,147.680
13800,长江干流,60106980,三峡水库,1718103600000,4,147.620
13800,13600,长江干流,60106980,三峡水库,1718107200000,4,147.560
13800,长江干流,60106980,三峡水库,1718110800000,5,147.590
13900,长江干流,60106980,三峡水库,1718114400000,4,147.560
11500,长江干流,60106980,三峡水库,1718118000000,5,147.630
11500,长江干流,60106980,三峡水库,1718121600000,5,147.670
10700,长江干流,60106980,三峡水库,1718125200000,5,147.760
10700,13200,长江干流,60106980,三峡水库,1718128800000,5,147.790
10700,长江干流,60106980,三峡水库,1718132400000,5,147.810
10700,长江干流,60106980,三峡水库,1718139600000,4,147.860
10700,长江干流,60106980,三峡水库,1718143200000,5,147.910
10700,长江干流,60106980,三峡水库,1718146800000,4,147.890
10600,13200,长江干流,60106980,三峡水库,1718150400000,5,147.920
10700,长江干流,60106980,三峡水库,1718154000000,6,147.920
9990,长江干流,60106980,三峡水库,1718157600000,5,147.960
8000,长江干流,60106980,三峡水库,1718161200000,5,148.070
8010,长江干流,60106980,三峡水库,1718164800000,5,148.110
7990,长江干流,60106980,三峡水库,1718168400000,5,148.170
7980,13200,长江干流,60106980,三峡水库,1718172000000,5,148.210
7970,长江干流,60106980,三峡水库,1718175600000,5,148.260
7940,长江干流,60106980,三峡水库,1718179200000,5,148.320
11300,长江干流,60106980,三峡水库,1718182800000,4,148.220
13700,长江干流,60106980,三峡水库,1718186400000,4,148.140
13800,长江干流,60106980,三峡水库,1718190000000,4,148.070
13800,13200,长江干流,60106980,三峡水库,1718193600000,4,148.050
13800,长江干流,60106980,三峡水库,1718197200000,4,148.040
13900,长江干流,60106980,三峡水库,1718200800000,5,148.050
11400,长江干流,60106980,三峡水库,1718204400000,5,148.130
11300,长江干流,60106980,三峡水库,1718208000000,5,148.150
11200,长江干流,60106980,三峡水库,1718211600000,5,148.220
11200,13200,长江干流,60106980,三峡水库,1718215200000,5,148.240
11200,长江干流,60106980,三峡水库,1718218800000,5,148.260
11200,长江干流,60106980,三峡水库,1718222400000,5,148.310
11200,长江干流,60106980,三峡水库,1718226000000,5,148.320
11200,长江干流,60106980,三峡水库,1718229600000,5,148.340
11200,长江干流,60106980,三峡水库,1718233200000,4,148.320
11200,13300,长江干流,60106980,三峡水库,1718236800000,5,148.360
11200,长江干流,60106980,三峡水库,1718240400000,5,148.370
9740,长江干流,60106980,三峡水库,1718244000000,5,148.400
7780,长江干流,60106980,三峡水库,1718247600000,5,148.520
8020,长江干流,60106980,三峡水库,1718251200000,5,148.570
7770,长江干流,60106980,三峡水库,1718254800000,5,148.630
7760,13400,长江干流,60106980,三峡水库,1718258400000,5,148.680
7760,长江干流,60106980,三峡水库,1718262000000,5,148.720
7750,长江干流,60106980,三峡水库,1718265600000,5,148.760
11000,长江干流,60106980,三峡水库,1718269200000,4,148.690
13500,长江干流,60106980,三峡水库,1718272800000,4,148.620
13500,长江干流,60106980,三峡水库,1718276400000,4,148.560
13600,13900,长江干流,60106980,三峡水库,1718280000000,4,148.550
13600,长江干流,60106980,三峡水库,1718283600000,4,148.540
13600,长江干流,60106980,三峡水库,1718287200000,5,148.560
11200,长江干流,60106980,三峡水库,1718290800000,5,148.650
11200,长江干流,60106980,三峡水库,1718294400000,4,148.640
11200,长江干流,60106980,三峡水库,1718298000000,5,148.720
11100,14100,长江干流,60106980,三峡水库,1718301600000,5,148.760
11100,长江干流,60106980,三峡水库,1718305200000,5,148.770
11100,长江干流,60106980,三峡水库,1718308800000,5,148.840
11100,长江干流,60106980,三峡水库,1718312400000,4,148.820
11100,长江干流,60106980,三峡水库,1718316000000,5,148.870
11100,长江干流,60106980,三峡水库,1718319600000,4,148.860
11100,14200,长江干流,60106980,三峡水库,1718323200000,5,148.880
11100,长江干流,60106980,三峡水库,1718326800000,5,148.890
9610,长江干流,60106980,三峡水库,1718330400000,5,148.950
7750,长江干流,60106980,三峡水库,1718334000000,5,149.080
7750,长江干流,60106980,三峡水库,1718337600000,5,149.120
7730,长江干流,60106980,三峡水库,1718341200000,5,149.180
7720,14200,长江干流,60106980,三峡水库,1718344800000,5,149.220
7720,长江干流,60106980,三峡水库,1718348400000,5,149.270
8070,长江干流,60106980,三峡水库,1718352000000,5,149.330
10900,长江干流,60106980,三峡水库,1718355600000,4,149.270
13400,长江干流,60106980,三峡水库,1718359200000,4,149.180
13400,长江干流,60106980,三峡水库,1718362800000,4,149.140
13400,14500,长江干流,60106980,三峡水库,1718366400000,4,149.130
13400,长江干流,60106980,三峡水库,1718370000000,5,149.140
13400,长江干流,60106980,三峡水库,1718373600000,6,149.140
11100,长江干流,60106980,三峡水库,1718377200000,5,149.210
11100,长江干流,60106980,三峡水库,1718380800000,5,149.260
11000,长江干流,60106980,三峡水库,1718384400000,5,149.300
11000,14500,长江干流,60106980,三峡水库,1718388000000,5,149.380
11000,长江干流,60106980,三峡水库,1718391600000,4,149.350
11000,长江干流,60106980,三峡水库,1718395200000,5,149.430
11000,长江干流,60106980,三峡水库,1718398800000,4,149.420
11000,长江干流,60106980,三峡水库,1718402400000,5,149.480
11000,长江干流,60106980,三峡水库,1718406000000,6,149.480
11000,14500,长江干流,60106980,三峡水库,1718409600000,5,149.510
11000,长江干流,60106980,三峡水库,1718413200000,4,149.500
9540,长江干流,60106980,三峡水库,1718416800000,5,149.560
7730,长江干流,60106980,三峡水库,1718420400000,5,149.700
7730,长江干流,60106980,三峡水库,1718424000000,5,149.730
7710,长江干流,60106980,三峡水库,1718427600000,5,149.780
7720,14200,长江干流,60106980,三峡水库,1718431200000,5,149.830
7710,长江干流,60106980,三峡水库,1718434800000,5,149.870
7690,长江干流,60106980,三峡水库,1718438400000,5,149.930
10900,长江干流,60106980,三峡水库,1718442000000,4,149.850
13300,长江干流,60106980,三峡水库,1718445600000,4,149.790
13400,长江干流,60106980,三峡水库,1718449200000,4,149.700
13400,14000,长江干流,60106980,三峡水库,1718452800000,4,149.690
13400,长江干流,60106980,三峡水库,1718456400000,5,149.700
13400,长江干流,60106980,三峡水库,1718460000000,6,149.700
11900,长江干流,60106980,三峡水库,1718463600000,5,149.750
11900,长江干流,60106980,三峡水库,1718467200000,4,149.740
11800,长江干流,60106980,三峡水库,1718470800000,5,149.790
11800,13500,长江干流,60106980,三峡水库,1718474400000,5,149.810
11800,长江干流,60106980,三峡水库,1718478000000,5,149.820
11800,长江干流,60106980,三峡水库,1718481600000,5,149.850
11800,长江干流,60106980,三峡水库,1718485200000,5,149.870
11700,长江干流,60106980,三峡水库,1718488800000,5,149.890
14800,长江干流,60106980,三峡水库,1718492400000,4,149.790
14800,13500,长江干流,60106980,三峡水库,1718496000000,4,149.770
14800,长江干流,60106980,三峡水库,1718499600000,4,149.710
12500,长江干流,60106980,三峡水库,1718503200000,5,149.800
